,page_url,bedrooms,baths,garage,date,price,location,property,area_marla,area_sqft
188,https://www.graana.com/property/islamabad-f-7-4-1-kanal-house-for-rent-535405,6,6,2,April 4 2022,500000,F-7/4 ,House ,20.0,5444.0
189,https://www.graana.com/property/islamabad-f-7-4-20-marla-house-for-rent-535411,8,8,2,April 4 2022,1200000,F-7/4 ,House ,20.0,5444.0
190,https://www.graana.com/property/islamabad-e-11-1550-sqft-apartment-for-rent-594664,3,3,1,March 28 2022,75000,E-11 ,Apartment ,5.693275690447418,1549.7096429397873
191,https://www.graana.com/property/islamabad-e-11-450-sqft-room-for-rent-595313,1,1,1,March 28 2022,16000,E-11 ,Room ,1.652886490775057,449.91570278897046
192,https://www.graana.com/property/islamabad-e-11-450-sqft-apartment-for-rent-595465,1,1,1,March 28 2022,32000,E-11 ,Apartment ,1.652886490775057,449.91570278897046
193,https://www.graana.com/property/islamabad-e-11-800-sqft-apartment-for-rent-595467,3,3,1,March 28 2022,32000,E-11 ,Apartment ,2.93846487248899,799.8501382915031
194,https://www.graana.com/property/islamabad-d-12-5-marla-house-for-rent-595469,4,4,1,March 28 2022,105000,D-12 ,House ,5.0,1361.0
195,https://www.graana.com/property/islamabad-bahria-enclave-5-marla-house-for-rent-595560,4,4,1,March 28 2022,65000,Bahria Enclave ,House ,5.0,1361.0
196,https://www.graana.com/property/islamabad-e-11-1-kanal-lower-portion-for-rent-595604,3,3,1,March 28 2022,120000,E-11 ,Lower Portion ,20.0,5444.0
197,https://www.graana.com/property/islamabad-dha-phase-5-1-kanal-upper-portion-for-rent-593520,3,3,0,March 28 2022,55000,DHA Phase 5 ,Upper Portion ,20.0,5444.0
198,https://www.graana.com/property/islamabad-dha-phase-5-1-kanal-house-for-rent-582747,5,5,0,March 28 2022,130000,DHA Phase 5 ,House ,20.0,5444.0
199,https://www.graana.com/property/islamabad-dha-phase-5-1-kanal-upper-portion-for-rent-578120,3,3,0,March 28 2022,55000,DHA Phase 5 ,Upper Portion ,20.0,5444.0
