,page_url,property_type,price,location,city,locality,baths,area,area_marla,area_sqft,bedrooms
23251,https://www.zameen.com/Property/e_11_e_11_4_the_best_flat_for_living_purpose-16937590-3241-4.html,Flat,30000,E-11,Islamabad,"E-11, Islamabad, Islamabad Capital",2,4.9 Marla,4.9,1334.03,2
23254,https://www.zameen.com/Property/e_11_e_11_4_the_best_flat_for_living_purpose-16937795-3241-4.html,Flat,35000,E-11,Islamabad,"E-11, Islamabad, Islamabad Capital",3,5.8 Marla,5.8,1579.06,3
23262,https://www.zameen.com/Property/e_11_e_11_3_furnished_studio_apartment_is_available_for_rent-16938269-3238-4.html,Flat,38000,E-11,Islamabad,"E-11, Islamabad, Islamabad Capital",1,2.7 Marla,2.7,735.08,1
23265,https://www.zameen.com/Property/islamabad_e_11_here_is_a_good_opportunity_to_live_in_a_well_built_flat-16938606-329-4.html,Flat,55000,E-11,Islamabad,"E-11, Islamabad, Islamabad Capital",3,7.3 Marla,7.3,1987.43,3
23266,https://www.zameen.com/Property/islamabad_e_11_here_is_a_good_opportunity_to_live_in_a_well_built_flat-16938612-329-4.html,Flat,55000,E-11,Islamabad,"E-11, Islamabad, Islamabad Capital",2,5.8 Marla,5.8,1579.06,2
23267,https://www.zameen.com/Property/islamabad_e_11_here_is_a_good_opportunity_to_live_in_a_well_built_flat-16938617-329-4.html,Flat,45000,E-11,Islamabad,"E-11, Islamabad, Islamabad Capital",2,5.8 Marla,5.8,1579.06,2
23275,https://www.zameen.com/Property/f_10_f_10_markaz_f_10_markaz_capital_trade_centre_flat_for_rent-16939747-3280-4.html,Flat,100000,F-10,Islamabad,"F-10, Islamabad, Islamabad Capital",0,5.3 Marla,5.3,1442.93,0
23277,https://www.zameen.com/Property/islamabad_i_8_3_bed_appartment_for_rent-16940125-174-4.html,Flat,36000,I-8,Islamabad,"I-8, Islamabad, Islamabad Capital",3,3.3 Marla,3.3,898.43,3
23281,https://www.zameen.com/Property/g_11_g_11_3_the_best_flat_for_living_purpose-16940235-3332-4.html,Flat,60000,G-11,Islamabad,"G-11, Islamabad, Islamabad Capital",2,6.4 Marla,6.4,1742.41,2
23282,https://www.zameen.com/Property/g_11_g_11_3_the_best_flat_for_living_purpose-16940242-3332-4.html,Flat,60000,G-11,Islamabad,"G-11, Islamabad, Islamabad Capital",2,6.4 Marla,6.4,1742.41,2
23289,https://www.zameen.com/Property/g_10_g_10_3_here_is_a_good_opportunity_to_live_in_a_well__built_flat-16940291-3326-4.html,Flat,30000,G-10,Islamabad,"G-10, Islamabad, Islamabad Capital",2,4 Marla,4.0,1089.0,2
23290,https://www.zameen.com/Property/islamabad_g_11_here_is_a_good_opportunity_to_live_in_a_well__built_flat-16940296-168-4.html,Flat,45000,G-11,Islamabad,"G-11, Islamabad, Islamabad Capital",2,3.8 Marla,3.8,1034.55,2
23291,https://www.zameen.com/Property/islamabad_g_11_here_is_a_good_opportunity_to_live_in_a_well__built_flat-16940300-168-4.html,Flat,45000,G-11,Islamabad,"G-11, Islamabad, Islamabad Capital",2,3.8 Marla,3.8,1034.55,2
23308,https://www.zameen.com/Property/islamabad_f_11_the_best_flat_for_living_purpose-16940407-163-4.html,Flat,110000,F-11,Islamabad,"F-11, Islamabad, Islamabad Capital",3,12 Marla,12.0,3267.01,3
23309,https://www.zameen.com/Property/islamabad_f_11_the_best_flat_for_living_purpose-16940410-163-4.html,Flat,110000,F-11,Islamabad,"F-11, Islamabad, Islamabad Capital",3,12 Marla,12.0,3267.01,3
23310,https://www.zameen.com/Property/islamabad_f_11_the_best_flat_for_living_purpose-16940414-163-4.html,Flat,110000,F-11,Islamabad,"F-11, Islamabad, Islamabad Capital",3,12 Marla,12.0,3267.01,3
23316,https://www.zameen.com/Property/islamabad_e_11_furnished_appartment_for_rent-16940452-329-4.html,Flat,47000,E-11,Islamabad,"E-11, Islamabad, Islamabad Capital",3,5.3 Marla,5.3,1442.93,3
23317,https://www.zameen.com/Property/islamabad_g_11_here_is_a_good_opportunity_to_live_in_a_well__built_flat-16940467-168-4.html,Flat,36000,G-11,Islamabad,"G-11, Islamabad, Islamabad Capital",2,4 Marla,4.0,1089.0,2
23318,https://www.zameen.com/Property/islamabad_g_11_here_is_a_good_opportunity_to_live_in_a_well__built_flat-16940469-168-4.html,Flat,36000,G-11,Islamabad,"G-11, Islamabad, Islamabad Capital",2,4 Marla,4.0,1089.0,2
23319,https://www.zameen.com/Property/islamabad_g_11_here_is_a_good_opportunity_to_live_in_a_well__built_flat-16940476-168-4.html,Flat,36000,G-11,Islamabad,"G-11, Islamabad, Islamabad Capital",2,4 Marla,4.0,1089.0,2
23326,https://www.zameen.com/Property/islamabad_g_11_here_is_a_good_opportunity_to_live_in_a_well__built_flat-16940494-168-4.html,Flat,32000,G-11,Islamabad,"G-11, Islamabad, Islamabad Capital",2,4 Marla,4.0,1089.0,2
