,Price,House_location,baths,beds,total_sqft,kitchens,tv_lounge,store
17752,5500000,Shaheen Town,3,2,1361,2,2,1
17753,7000000,Shaheen Town,2,2,1361,2,2,1
17756,5500000,Shaheen Town,3,2,1361,2,2,1
17758,8500000,Shaheen Town,3,2,1905,2,2,1
17761,5000000,Shaheen Town,2,2,1361,2,2,1
17762,8500000,other,3,3,2722,2,2,1
17764,4000000,other,2,2,952,1,1,0
17765,11500000,other,4,5,2722,2,2,1
17766,11500000,other,4,5,2722,2,2,1
17767,7500000,other,5,5,2722,2,2,1
17769,4500000,other,3,4,952,1,1,0
17771,5500000,other,2,5,816,1,1,0
17772,4800000,other,2,5,1089,1,2,0
17775,19900000,Shalley Valley,6,6,2722,2,2,1
17776,12500000,Shalley Valley,4,4,1633,2,2,1
17777,20500000,Shalley Valley,7,6,2722,2,2,1
17779,10000000,Shalley Valley,5,4,1361,2,2,1
17780,27000000,Shalley Valley,7,8,5445,2,2,1
17781,19900000,Shalley Valley,6,6,2722,2,2,1
17782,6000000,Shalley Valley,2,2,1361,2,2,1
17783,6200000,Shalley Valley,3,2,1361,2,2,1
17785,9500000,Shalley Valley,5,4,1361,2,2,1
17786,12500000,Shalley Valley,3,3,2041,2,2,1
17787,10500000,Shalley Valley,4,4,1361,2,2,1
17788,4000000,Shalley Valley,3,2,952,1,1,0
17789,11000000,Shalley Valley,4,4,1361,2,2,1
17790,9500000,Shalley Valley,4,5,1361,2,2,1
17791,8000000,Shalley Valley,4,3,1633,2,2,1
17793,18500000,Shalley Valley,5,5,2722,2,2,1
17795,7500000,Shalley Valley,2,2,1143,1,2,0
17796,7500000,Shalley Valley,4,4,1143,1,2,0
17798,19000000,Shalley Valley,4,4,2722,2,2,1
17799,10000000,Shalley Valley,6,5,1361,2,2,1
17800,7500000,Shalley Valley,5,4,1361,2,2,1
17801,4000000,Shalley Valley,2,2,816,1,1,0
17802,8200000,Shalley Valley,4,3,1361,2,2,1
17804,20000000,Shalley Valley,6,6,2722,2,2,1
17805,12500000,Shalley Valley,5,8,1905,2,2,1
17807,8000000,Shalley Valley,4,4,1089,1,2,0
17809,4200000,Shalley Valley,2,2,1361,2,2,1
17810,11000000,Shalley Valley,4,4,1361,2,2,1
17811,5500000,Shalley Valley,3,2,1361,2,2,1
17812,7500000,Shalley Valley,5,4,1361,2,2,1
17813,4000000,Shalley Valley,2,2,816,1,1,0
17814,2600000,Shalley Valley,2,2,816,1,1,0
17816,16000000,Shalley Valley,3,3,2722,2,2,1
17817,28000000,Shalley Valley,8,8,5445,2,2,1
17818,5000000,Shalley Valley,3,2,1361,2,2,1
17819,22000000,Shalley Valley,6,6,2722,2,2,1
17820,25000000,Shalley Valley,8,8,4083,2,2,1
17821,11300000,Shalley Valley,6,6,3620,2,2,1
17822,8500000,Shalley Valley,3,2,1905,2,2,1
17824,26000000,Shalley Valley,8,8,4083,2,2,1
17827,7000000,Shalley Valley,3,3,1089,1,2,0
17829,11000000,Shalley Valley,2,2,1633,2,2,1
17830,9500000,Shalley Valley,2,2,1361,2,2,1
17831,15000000,Shalley Valley,6,6,2069,2,2,1
17832,13000000,Shalley Valley,2,2,1633,2,2,1
17834,4000000,Shalley Valley,3,3,816,1,1,0
17835,15000000,Shalley Valley,6,6,2069,2,2,1
17836,7000000,Shalley Valley,4,4,1361,2,2,1
17842,19500000,other,4,4,1905,2,2,1
17843,15000000,other,4,4,1497,2,2,1
17844,13000000,other,4,4,1361,2,2,1
17845,13000000,other,4,4,1361,2,2,1
17846,13000000,other,4,5,1361,2,2,1
17847,16500000,other,3,2,1633,2,2,1
17848,7000000,other,2,4,1361,2,2,1
17853,3300000,other,3,3,1361,2,2,1
17858,17000000,other,5,5,2531,2,2,1
17862,10000000,Sher Zaman Colony,4,4,1905,2,2,1
17863,7000000,Sher Zaman Colony,4,3,1633,2,2,1
17864,11000000,Sher Zaman Colony,4,4,1361,2,2,1
17865,15000000,Sher Zaman Colony,3,3,4083,2,2,1
17866,28000000,Sher Zaman Colony,4,4,5445,2,2,1
17867,7000000,Sher Zaman Colony,4,3,1633,2,2,1
17869,17000000,Sher Zaman Colony,6,7,3811,2,2,1
17877,15000000,Sher Zaman Colony,5,5,2178,2,2,1
17879,20000000,Sher Zaman Colony,6,6,3267,2,2,1
17880,8500000,Sher Zaman Colony,5,5,1361,2,2,1
17882,4300000,other,3,2,1361,2,2,1
17883,4500000,other,3,3,1361,2,2,1
17884,6000000,other,5,4,2178,2,2,1
17885,2600000,other,2,2,816,1,1,0
17896,8500000,Soan Garden,4,4,1361,2,2,1
17897,8500000,Soan Garden,2,2,1633,2,2,1
17899,16500000,Soan Garden,8,7,2722,2,2,1
17904,9850000,Soan Garden,3,2,1633,2,2,1
17907,10500000,Soan Garden,4,4,1361,2,2,1
17913,9500000,Soan Garden,3,2,1905,2,2,1
17916,14000000,Soan Garden,5,4,2722,2,2,1
17918,8500000,Soan Garden,3,3,1633,2,2,1
17920,12100000,Soan Garden,4,4,2178,2,2,1
17921,12000000,Soan Garden,5,4,2178,2,2,1
17923,21000000,Soan Garden,5,4,4083,2,2,1
17924,21000000,Soan Garden,5,4,4083,2,2,1
17927,13500000,Soan Garden,5,4,2205,2,2,1
17928,8500000,Soan Garden,3,2,1633,2,2,1
17931,14000000,Soan Garden,4,4,1905,2,2,1
17932,14000000,Soan Garden,4,4,1905,2,2,1
17933,12500000,Soan Garden,4,4,1633,2,2,1
17941,15800000,Soan Garden,6,7,2450,2,2,1
17943,8800000,Soan Garden,2,2,1633,2,2,1
17944,13800000,Soan Garden,5,5,1824,2,2,1
17945,11900000,Soan Garden,4,4,1905,2,2,1
17946,12000000,Soan Garden,5,5,1905,2,2,1
17954,9500000,Soan Garden,2,2,1796,2,2,1
