,Price,House_location,baths,beds,area
530,1801000,Bahria Town Rawalpindi,1,1,381
531,1950000,Bahria Town Rawalpindi,1,2,952
532,2800000,Bahria Town Rawalpindi,1,2,952
533,2600000,Bahria Town Rawalpindi,1,2,952
534,4000000,Bahria Town Rawalpindi,1,1,598
535,2800000,Bahria Town Rawalpindi,2,2,735
536,2800000,Bahria Town Rawalpindi,2,2,843
537,10500000,Bahria Town Rawalpindi,2,2,1579
538,10000000,Bahria Town Rawalpindi,1,1,1334
539,3800000,Bahria Town Rawalpindi,2,2,816
540,4950000,Bahria Town Rawalpindi,2,2,1143
541,2600000,Bahria Town Rawalpindi,1,2,952
542,3900000,Bahria Town Rawalpindi,1,1,735
543,3500000,Bahria Town Rawalpindi,1,2,1361
544,7000000,Bahria Town Rawalpindi,1,1,843
545,6500000,Bahria Town Rawalpindi,2,2,980
546,2800000,Bahria Town Rawalpindi,1,2,952
547,5000000,Bahria Town Rawalpindi,2,2,843
548,6500000,Bahria Town Rawalpindi,2,1,898
549,4000000,Bahria Town Rawalpindi,1,2,789
550,3200000,Bahria Town Rawalpindi,1,1,707
551,18000000,Bahria Town Rawalpindi,2,2,1960
552,5000000,Bahria Town Rawalpindi,2,2,1089
553,1700000,Bahria Town Rawalpindi,1,1,353
554,6200000,Bahria Town Rawalpindi,2,2,1197
555,6400000,Bahria Town Rawalpindi,2,2,1034
556,3800000,Bahria Town Rawalpindi,2,2,1089
557,4583000,Bahria Town Rawalpindi,1,1,735
558,2300000,Bahria Town Rawalpindi,1,1,408
559,2900000,Bahria Town Rawalpindi,1,2,952
560,6000000,Bahria Town Rawalpindi,2,2,1197
561,7500000,Bahria Town Rawalpindi,3,3,2123
562,7500000,Bahria Town Rawalpindi,3,3,2123
563,7500000,Bahria Town Rawalpindi,3,3,2123
564,7500000,Bahria Town Rawalpindi,3,3,2123
565,3600000,Bahria Town Rawalpindi,1,2,1361
566,4583000,Bahria Town Rawalpindi,1,1,735
567,2500000,Bahria Town Rawalpindi,1,1,462
568,7300000,Bahria Town Rawalpindi,2,1,980
569,4583000,Bahria Town Rawalpindi,1,1,735
570,7080000,Bahria Town Rawalpindi,2,2,1143
571,18500000,Bahria Town Rawalpindi,2,2,1687
572,3500000,Bahria Town Rawalpindi,2,2,735
573,3300000,Bahria Town Rawalpindi,1,2,952
574,8400000,Bahria Town Rawalpindi,2,1,980
575,4500000,Bahria Town Rawalpindi,2,2,980
576,3200000,Bahria Town Rawalpindi,2,2,1361
577,3600000,Bahria Town Rawalpindi,1,1,707
578,2970000,Bahria Town Rawalpindi,1,1,626
579,11700000,Bahria Town Rawalpindi,3,3,1878
580,4000000,Bahria Town Rawalpindi,2,2,980
581,4000000,Bahria Town Rawalpindi,1,2,1361
582,3800000,Bahria Town Rawalpindi,2,2,1034
583,11500000,Bahria Town Rawalpindi,2,2,1687
584,2400000,Bahria Town Rawalpindi,1,2,762
585,5000000,Bahria Town Rawalpindi,2,2,1170
586,5500000,Bahria Town Rawalpindi,2,2,925
587,3500000,Bahria Town Rawalpindi,2,2,789
588,3000000,Bahria Town Rawalpindi,1,2,952
589,3500000,Bahria Town Rawalpindi,2,2,789
590,12500000,Bahria Town Rawalpindi,2,2,1442
591,3400000,Bahria Town Rawalpindi,2,2,898
592,12000000,Bahria Town Rawalpindi,2,2,1415
593,5500000,Bahria Town Rawalpindi,2,2,1170
594,4000000,Bahria Town Rawalpindi,1,1,843
595,2350000,Bahria Town Rawalpindi,2,2,898
596,3200000,Bahria Town Rawalpindi,1,1,435
597,6200000,Bahria Town Rawalpindi,2,2,1143
598,2450000,Bahria Town Rawalpindi,1,2,816
599,7500000,Bahria Town Rawalpindi,2,2,1442
600,5000000,Bahria Town Rawalpindi,2,2,1089
601,5000000,Bahria Town Rawalpindi,2,2,1442
