,Price,House_location,baths,beds,total_sqft,portion,garage
1392,22000,other,3,4,1361,1,0
1397,14000,Ghauri Town,1,2,1361,1,0
1401,25000,G-15,3,3,2178,1,1
1402,27000,G-15,3,3,2178,1,1
1403,15000,G-15,2,2,789,1,0
1406,16000,other,2,2,1361,1,0
1407,30000,I-10,1,2,2531,1,1
1408,30000,other,3,2,2450,1,1
1409,12000,other,1,1,816,1,0
1410,27000,G-15,3,3,2178,1,1
1411,45000,D-12,3,3,2722,1,1
1418,25000,G-15,2,2,1905,1,1
1419,29000,G-15,4,4,1905,1,1
1420,26000,G-15,3,2,1905,1,1
1424,35000,PWD Housing Scheme,3,3,3865,1,2
1427,34000,G-15,2,2,3267,1,2
1429,75000,F-11,3,3,2722,1,1
1430,17000,Ghauri Town,2,2,1361,1,0
1434,60000,E-11,3,3,3865,1,2
1437,25000,G-15,2,2,1905,1,1
1442,27000,G-14,2,2,2178,1,1
1450,25000,CBR Town,3,2,1905,1,1
1451,22000,Ghauri Town,3,3,1905,1,1
1454,20000,G-6,1,1,2178,1,1
1463,25000,National Police Foundation O-9,2,3,2722,1,1
1470,35000,G-15,3,3,3865,1,2
1473,30000,PWD Housing Scheme,3,3,3267,1,2
1474,24000,PWD Housing Scheme,2,2,2722,1,1
1475,15000,PWD Housing Scheme,2,2,1361,1,0
1480,40000,CBR Town,4,3,3811,1,2
1481,25000,CBR Town,3,2,1905,1,1
1490,27000,G-9,1,2,1361,1,0
1491,20000,I-10,2,2,1089,1,0
1492,30000,G-14,3,2,2450,1,1
1496,36000,I-10,2,3,1905,1,1
1502,40000,Bahria Town,4,3,2722,1,1
1509,28000,D-12,3,3,1089,1,0
1510,20000,Ghauri Town,3,3,1361,1,0
1513,44000,E-11,2,2,2450,1,1
1515,50000,F-11,3,3,2531,1,1
1516,25000,Bani Gala,3,2,2722,1,1
1518,26000,G-13,2,2,1089,1,0
1521,35000,G-11,2,2,1633,1,1
1524,23000,FECHS,3,2,2041,1,1
1527,40000,G-11,3,3,2531,1,1
1528,20000,National Police Foundation O-9,3,2,2722,1,1
1532,31000,DHA Defence,2,2,2722,1,1
1533,31000,DHA Defence,3,3,2722,1,1
1540,33000,E-11,2,2,1633,1,1
1545,14000,Ghauri Town,2,2,1361,1,0
1546,56000,Bani Gala,5,4,3811,1,2
1547,28000,G-15,3,3,1905,1,1
1551,28000,DHA Defence,2,2,2722,1,1
1552,42000,G-11,2,3,2178,1,1
1555,23000,other,1,1,1361,1,0
1557,25000,G-13,3,3,1197,1,0
1558,30000,DHA Defence,3,2,2722,1,1
1559,40000,DHA Defence,3,3,2722,1,1
1565,24000,G-13,3,2,1089,1,0
1567,18000,Ghauri Town,2,2,1361,1,0
1569,26000,Green Avenue,2,2,1361,1,0
1576,35000,DHA Defence,4,3,2722,1,1
1580,22000,I-9,2,2,1361,1,0
1581,30000,I-10,3,3,1633,1,1
1585,60000,I-8,3,3,3267,1,2
1590,65000,I-8,3,3,3811,1,2
1604,30000,G-15,2,2,1905,1,1
1608,35000,DHA Defence,4,3,2722,1,1
1609,23000,G-13,2,2,1197,1,0
1610,32000,I-10,2,2,1633,1,1
1611,30000,I-10,2,2,1633,1,1
1613,24000,G-13,3,2,1197,1,0
1614,65000,I-8,3,3,3375,1,2
1617,59000,I-8,3,3,3865,1,2
1621,70000,other,3,3,2722,1,1
1622,30000,PWD Housing Scheme,3,2,2722,1,1
1625,25000,G-13,2,2,1197,1,0
1626,20000,Ghauri Town,3,2,1361,1,0
1628,50000,I-8,3,3,3267,1,2
1630,18000,Ghauri Town,3,2,1361,1,0
1631,37000,G-8,2,2,2178,1,1
1632,28000,other,3,3,1905,1,1
1634,41000,G-10,2,2,2722,1,1
1635,55000,D-12,3,3,3811,1,2
1638,30000,H-13,5,4,2722,1,1
1640,45000,DHA Defence,3,3,3267,1,2
1641,23000,Ghauri Town,3,3,1905,1,1
1642,42000,G-11,2,3,2178,1,1
1643,36000,G-11,2,2,2178,1,1
1646,65000,I-8,3,3,3267,1,2
1649,55000,I-8,3,3,3267,1,2
1653,75000,I-8,3,3,2722,1,1
1655,32000,DHA Defence,3,3,2722,1,1
1657,55000,I-8,3,3,3267,1,2
1658,65000,I-8,3,3,3267,1,2
1661,27500,Korang Town,3,3,3267,1,2
1665,25000,Soan Garden,3,3,2722,1,1
1667,30000,B-17,2,2,1905,1,1
1671,18000,Pakistan Town,2,2,1361,1,0
1673,10500,Soan Garden,1,2,816,1,0
