,total_area,url,beds,baths,garage,location,date,Price_,A,B,C,D,E,F,G
556,666 Sq. Yd. House for Rent,https://www.graana.com/property/islamabad-f-7-666-sqyd-house-for-rent-487839,6,6,2,F-7 Islamabad,March 8 2022,400000,F-7 ,666 Sq. Yd. House , Rent,666,Sq. Yd. House ,Sq.,Yd. House 
557,10 Marla House for Rent,https://www.graana.com/property/islamabad-g-13-10-marla-house-for-rent-393145,6,6,1,G-13 Islamabad,March 8 2022,90000,G-13 ,10 Marla House , Rent,10,Marla House ,Marla,House 
558,1 Kanal Lower Portion for Rent,https://www.graana.com/property/islamabad-dha-phase-2-1-kanal-lower-portion-for-rent-578909,3,3,1,DHA Phase 2 Islamabad,March 8 2022,200000,DHA Phase 2 ,1 Kanal Lower Portion , Rent,1,Kanal Lower Portion ,Kanal,Lower Portion 
559,10 Marla Upper Portion for Rent,https://www.graana.com/property/islamabad-g-13-10-marla-upper-portion-for-rent-477216,3,4,1,G-13 Islamabad,March 8 2022,90000,G-13 ,10 Marla Upper Portion , Rent,10,Marla Upper Portion ,Marla,Upper Portion 
560,1 Kanal Lower Portion for Rent,https://www.graana.com/property/islamabad-dha-phase-2-1-kanal-lower-portion-for-rent-578939,3,3,1,DHA Phase 2 Islamabad,March 8 2022,114999,DHA Phase 2 ,1 Kanal Lower Portion , Rent,1,Kanal Lower Portion ,Kanal,Lower Portion 
561,18 Marla Upper Portion for Rent,https://www.graana.com/property/islamabad-f-8-18-marla-upper-portion-for-rent-472947,3,3,0,F-8 Islamabad,March 8 2022,160000,F-8 ,18 Marla Upper Portion , Rent,18,Marla Upper Portion ,Marla,Upper Portion 
562,18 Marla Lower Portion for Rent,https://www.graana.com/property/islamabad-f-8-18-marla-lower-portion-for-rent-472931,3,3,0,F-8 Islamabad,March 8 2022,175000,F-8 ,18 Marla Lower Portion , Rent,18,Marla Lower Portion ,Marla,Lower Portion 
563,666 Sqyd Lower Portion for Rent,https://www.graana.com/property/islamabad-g-14-666-sqyd-lower-portion-for-rent-461306,4,4,2,G-14 Islamabad,March 8 2022,90000,G-14 ,666 Sqyd Lower Portion , Rent,666,Sqyd Lower Portion ,Sqyd,Lower Portion 
564,444 Sqyd Lower Portion for Rent,https://www.graana.com/property/islamabad-e-7-444-sqyd-lower-portion-for-rent-428737,2,2,2,E-7 Islamabad,March 8 2022,150000,E-7 ,444 Sqyd Lower Portion , Rent,444,Sqyd Lower Portion ,Sqyd,Lower Portion 
565,10 Marla Annexe for Rent,https://www.graana.com/property/islamabad-f-8-10-marla-annexe-for-rent-417632,3,3,1,F-8 Islamabad,March 8 2022,150000,F-8 ,10 Marla Annexe , Rent,10,Marla Annexe ,Marla,Annexe 
